OrderID,CustomerID,StoreID,OrderDate,OrderDateTime,OrderStatus,SalesChannel,PaymentMethod,ShippingDate,PromoCode,Notes,SubTotal,Tax,ShippingCost,ItemsCount,OrderLevelDiscount,OrderTotal
28,496,9,2024-10-22,2024-10-22 19:55:00,Completed,Online,Bank Transfer,2024-10-22,BUNDLE5,,53.44,3.74,5.26,4,1.07,61.37
29,352,9,2024-02-23,2024-02-23 18:20:00,Completed,In-Store,Debit Card,2024-02-23,BUNDLE5,Fragile,12.44,0.87,0.0,1,0.0,13.31
30,380,8,2024-08-22,2024-08-22 15:45:00,Completed,Online,Cash,2024-08-28,VIP20,,22.32,1.56,3.48,1,0.0,27.36
31,232,6,2024-08-18,2024-08-18 17:30:00,Completed,Online,Debit Card,2024-08-25,,Gift wrap,12.78,0.89,3.99,1,0.0,17.66
32,84,2,2024-10-30,2024-10-30 18:40:00,Completed,Online,Cash,2024-11-06,BUNDLE5,Gift wrap,16.33,1.14,5.05,1,0.0,22.52
33,463,9,2024-10-23,2024-10-23 18:35:00,Completed,In-Store,E-Wallet,2024-10-23,NEW10,,71.94,5.04,0.0,3,1.44,75.54
34,753,3,2024-05-16,2024-05-16 19:35:00,Completed,In-Store,Credit Card,2024-05-16,VIP20,Fragile,12.97,0.91,0.0,1,0.0,13.88
35,175,2,2025-01-18,2025-01-18 17:50:00,Completed,Online,Bank Transfer,2025-01-19,,,41.27,2.89,3.6,3,0.0,47.76
36,694,4,2024-11-25,2024-11-25 11:15:00,Completed,In-Store,Credit Card,2024-11-25,NEW10,Fragile,42.6,2.98,0.0,3,0.85,44.73
37,1192,10,2024-06-08,2024-06-08 18:20:00,Completed,In-Store,E-Wallet,2024-06-08,SUMMER15,Fragile,27.3,1.91,0.0,1,0.0,29.21
38,993,9,2025-07-19,2025-07-19 18:30:00,Completed,In-Store,Credit Card,2025-07-19,,Gift wrap,57.2,4.0,0.0,1,0.0,61.2
39,276,1,2024-06-18,2024-06-18 16:15:00,Completed,Online,Credit Card,2024-06-25,,,10.57,0.74,4.8,1,0.0,16.11
40,670,3,2024-01-01,2024-01-01 20:30:00,Completed,In-Store,Credit Card,2024-01-01,,,14.94,1.05,0.0,1,0.0,15.99
41,414,5,2024-08-18,2024-08-18 18:35:00,Completed,Online,Cash,2024-08-23,,,43.46,3.04,3.51,2,0.0,50.01
42,882,2,2025-06-12,2025-06-12 17:00:00,Completed,Online,E-Wallet,2025-06-19,VIP20,,52.28,3.66,4.63,3,1.05,59.52
43,621,3,2024-03-26,2024-03-26 10:40:00,Completed,Online,E-Wallet,2024-04-02,,,40.47,2.83,3.78,2,0.0,47.08
44,1135,9,2024-02-25,2024-02-25 17:35:00,Completed,Online,Debit Card,2024-02-25,VIP20,Gift wrap,29.33,2.05,1.42,1,0.0,32.8
45,723,5,2024-12-21,2024-12-21 16:30:00,Completed,Online,Credit Card,2024-12-23,,Gift wrap,9.72,0.68,6.35,1,0.0,16.75
46,1196,1,2024-11-19,2024-11-19 15:55:00,Cancelled,In-Store,E-Wallet,,,Fragile,30.18,2.11,0.0,2,0.0,32.29
47,844,6,2024-03-16,2024-03-16 15:25:00,Completed,Online,Debit Card,2024-03-20,BUNDLE5,,51.66,3.62,4.39,2,0.0,59.67
48,625,2,2025-06-15,2025-06-15 20:05:00,Completed,Online,Cash,2025-06-15,VIP20,Fragile,14.37,1.01,2.71,1,0.0,18.09
49,547,1,2024-08-19,2024-08-19 17:30:00,Completed,Online,Cash,2024-08-25,BUNDLE5,Fragile,19.0,1.33,4.49,1,0.0,24.82
50,1001,2,2024-05-15,2024-05-15 15:05:00,Completed,Online,E-Wallet,2024-05-20,NEW10,,52.65,3.69,1.76,2,0.0,58.1
51,414,8,2025-05-01,2025-05-01 14:30:00,Completed,In-Store,Credit Card,2025-05-01,,,39.87,2.79,0.0,2,0.0,42.66
52,98,5,2025-06-05,2025-06-05 13:20:00,Pending,Online,Debit Card,,,,30.33,2.12,2.99,2,0.0,35.44
53,560,2,2024-03-20,2024-03-20 11:25:00,Completed,Online,E-Wallet,2024-03-23,SUMMER15,,35.8,2.51,4.36,2,0.0,42.67
54,1034,5,2024-10-17,2024-10-17 18:20:00,Completed,Online,Debit Card,2024-10-23,VIP20,Gift wrap,12.88,0.9,3.1,1,0.0,16.88
55,1122,3,2024-05-24,2024-05-24 17:35:00,Pending,In-Store,Bank Transfer,,,,84.21,5.89,0.0,4,0.0,90.1
56,958,5,2024-08-17,2024-08-17 17:15:00,Pending,Online,Bank Transfer,,BUNDLE5,,64.04,4.48,3.47,3,1.28,70.71
57,948,3,2025-02-01,2025-02-01 17:25:00,Completed,In-Store,Cash,2025-02-01,,Fragile,63.26,4.43,0.0,3,0.0,67.69
58,417,7,2024-06-25,2024-06-25 15:05:00,Completed,Online,Debit Card,2024-06-29,,,74.89,5.24,3.57,4,0.0,83.7
59,233,3,2024-03-28,2024-03-28 13:15:00,Completed,Online,Cash,2024-04-04,VIP20,,39.92,2.79,2.73,1,0.0,45.44
60,76,4,2025-04-11,2025-04-11 20:30:00,Completed,Online,Cash,2025-04-15,,,90.58,6.34,1.1,2,0.0,98.02
61,996,1,2024-11-04,2024-11-04 13:00:00,Completed,In-Store,Cash,2024-11-04,BUNDLE5,Gift wrap,22.8,1.6,0.0,1,0.0,24.4
62,745,2,2025-02-17,2025-02-17 19:30:00,Completed,In-Store,Debit Card,2025-02-17,NEW10,,41.25,2.89,0.0,2,0.0,44.14
63,248,9,2025-07-26,2025-07-26 17:40:00,Completed,Online,Bank Transfer,2025-07-30,VIP20,,43.55,3.05,2.82,3,0.87,48.55
64,642,6,2024-11-23,2024-11-23 13:05:00,Pending,In-Store,Debit Card,,VIP20,,12.21,0.85,0.0,1,0.0,13.06
65,439,5,2024-06-09,2024-06-09 12:10:00,Completed,Online,Bank Transfer,2024-06-09,VIP20,,21.13,1.48,3.29,1,0.0,25.9
66,649,9,2024-11-18,2024-11-18 15:05:00,Completed,In-Store,Cash,2024-11-18,,,123.06,8.61,0.0,3,0.0,131.67
67,754,5,2024-07-22,2024-07-22 15:55:00,Completed,In-Store,Bank Transfer,2024-07-22,,,92.03,6.44,0.0,3,0.0,98.47
68,491,5,2025-01-07,2025-01-07 18:50:00,Completed,Online,Cash,2025-01-08,BUNDLE5,,42.97,3.01,3.84,2,0.0,49.82
69,17,7,2024-01-22,2024-01-22 19:30:00,Pending,In-Store,Cash,,,,128.43,8.99,0.0,5,0.0,137.42
70,899,6,2024-07-13,2024-07-13 14:10:00,Pending,In-Store,E-Wallet,,,,51.55,3.61,0.0,3,0.0,55.16
71,1007,8,2024-10-28,2024-10-28 14:05:00,Cancelled,In-Store,Cash,,,Fragile,44.26,3.1,0.0,2,0.0,47.36
72,329,5,2024-08-31,2024-08-31 19:05:00,Completed,Online,Bank Transfer,2024-09-05,VIP20,,11.24,0.79,4.97,1,0.0,17.0
73,377,8,2024-10-19,2024-10-19 18:50:00,Returned,Online,E-Wallet,,,Gift wrap,72.47,5.07,4.68,2,0.0,82.22
74,227,3,2025-02-22,2025-02-22 14:05:00,Completed,In-Store,Debit Card,2025-02-22,,,30.39,2.13,0.0,2,0.0,32.52
75,925,8,2025-03-15,2025-03-15 18:25:00,Pending,Online,Debit Card,,,Gift wrap,19.91,1.39,3.37,1,0.0,24.67
76,753,3,2024-10-27,2024-10-27 13:30:00,Completed,Online,Bank Transfer,2024-10-30,,,33.19,2.32,2.52,2,0.0,38.03
77,469,2,2025-04-05,2025-04-05 20:50:00,Pending,Online,Debit Card,,VIP20,,20.24,1.42,3.32,1,0.0,24.98
78,306,2,2025-01-31,2025-01-31 16:20:00,Pending,Online,Bank Transfer,,,,24.22,1.7,4.7,1,0.0,30.62
79,1013,2,2025-01-10,2025-01-10 16:35:00,Completed,Online,Cash,2025-01-14,,Fragile,150.75,10.55,1.46,4,0.0,162.76
80,424,10,2024-01-17,2024-01-17 15:30:00,Completed,In-Store,Debit Card,2024-01-17,VIP20,,58.61,4.1,0.0,2,0.0,62.71
81,59,5,2024-06-17,2024-06-17 15:10:00,Pending,Online,E-Wallet,,SUMMER15,,23.03,1.61,3.06,1,0.0,27.7
82,176,1,2024-10-20,2024-10-20 18:35:00,Completed,In-Store,E-Wallet,2024-10-20,,,91.11,6.38,0.0,3,0.0,97.49
83,867,10,2025-03-04,2025-03-04 18:55:00,Completed,Online,Credit Card,2025-03-04,SUMMER15,,46.18,3.23,3.82,3,0.92,52.31
84,94,1,2025-03-09,2025-03-09 16:25:00,Completed,In-Store,Cash,2025-03-09,VIP20,Gift wrap,41.09,2.88,0.0,2,0.0,43.97
85,85,10,2024-06-28,2024-06-28 12:40:00,Completed,Online,E-Wallet,2024-07-03,VIP20,,18.27,1.28,3.71,2,0.0,23.26
86,1087,7,2024-01-03,2024-01-03 11:55:00,Completed,Online,Credit Card,2024-01-05,VIP20,Gift wrap,23.14,1.62,3.58,1,0.0,28.34
87,580,5,2024-01-22,2024-01-22 18:30:00,Completed,In-Store,Cash,2024-01-22,BUNDLE5,Gift wrap,55.03,3.85,0.0,2,0.0,58.88
88,647,8,2024-08-04,2024-08-04 16:10:00,Cancelled,Online,E-Wallet,,NEW10,,24.43,1.71,3.22,1,0.0,29.36
89,74,8,2025-02-24,2025-02-24 11:10:00,Completed,In-Store,E-Wallet,2025-02-24,,Fragile,3.47,0.24,0.0,1,0.0,3.71
90,1149,8,2024-06-19,2024-06-19 10:25:00,Completed,Online,Debit Card,2024-06-20,SUMMER15,,28.26,1.98,3.38,3,0.57,33.05
91,370,3,2025-01-12,2025-01-12 13:20:00,Cancelled,In-Store,Bank Transfer,,,,161.11,11.28,0.0,4,0.0,172.39
92,1078,10,2025-06-14,2025-06-14 13:00:00,Completed,In-Store,Debit Card,2025-06-14,,Fragile,12.46,0.87,0.0,1,0.0,13.33
93,54,5,2025-04-13,2025-04-13 18:25:00,Completed,In-Store,E-Wallet,2025-04-13,SUMMER15,,133.4,9.34,0.0,3,2.67,140.07
94,663,3,2025-05-12,2025-05-12 20:05:00,Completed,Online,E-Wallet,2025-05-19,,Gift wrap,27.2,1.9,3.74,1,0.0,32.84
95,675,1,2024-06-25,2024-06-25 17:00:00,Completed,In-Store,Cash,2024-06-25,,,39.15,2.74,0.0,2,0.0,41.89
96,580,6,2024-11-07,2024-11-07 12:00:00,Returned,In-Store,Bank Transfer,,BUNDLE5,Fragile,14.43,1.01,0.0,1,0.0,15.44
97,365,4,2025-07-20,2025-07-20 11:20:00,Pending,In-Store,Credit Card,,,,21.3,1.49,0.0,2,0.0,22.79
98,584,3,2024-06-25,2024-06-25 12:30:00,Completed,Online,E-Wallet,2024-06-29,,,10.83,0.76,1.97,1,0.0,13.56
99,197,6,2025-06-20,2025-06-20 12:50:00,Completed,Online,E-Wallet,2025-06-27,SUMMER15,,40.6,2.84,1.62,1,0.0,45.06
100,866,6,2024-03-02,2024-03-02 17:05:00,Completed,Online,E-Wallet,2024-03-03,,,32.65,2.29,2.8,2,0.0,37.74
101,460,3,2025-08-17,2025-08-17 15:35:00,Pending,Online,Bank Transfer,,SUMMER15,Fragile,8.69,0.61,5.7,1,0.0,15.0
102,616,3,2024-09-24,2024-09-24 16:35:00,Pending,In-Store,Cash,,,,64.1,4.49,0.0,3,0.0,68.59
103,1165,1,2025-03-23,2025-03-23 17:20:00,Completed,In-Store,Bank Transfer,2025-03-23,,,66.98,4.69,0.0,3,0.0,71.67
104,952,10,2024-05-20,2024-05-20 16:05:00,Returned,Online,Bank Transfer,,,,29.42,2.06,4.62,3,0.0,36.1
105,948,3,2025-08-03,2025-08-03 10:55:00,Returned,In-Store,Credit Card,,,Fragile,35.64,2.49,0.0,2,0.0,38.13
106,643,10,2024-04-22,2024-04-22 19:20:00,Cancelled,In-Store,E-Wallet,,BUNDLE5,Gift wrap,61.1,4.28,0.0,3,1.22,64.16
107,433,3,2025-07-03,2025-07-03 15:10:00,Completed,In-Store,Cash,2025-07-03,,,36.49,2.55,0.0,2,0.0,39.04
108,12,7,2025-04-06,2025-04-06 16:00:00,Completed,Online,E-Wallet,2025-04-13,,Fragile,24.52,1.72,4.53,1,0.0,30.77
109,997,5,2024-03-29,2024-03-29 19:55:00,Completed,In-Store,Cash,2024-03-29,,Fragile,23.69,1.66,0.0,2,0.0,25.35
110,257,3,2025-05-28,2025-05-28 19:05:00,Completed,Online,Credit Card,2025-05-31,,,14.16,0.99,5.15,1,0.0,20.3
111,298,4,2025-05-15,2025-05-15 13:50:00,Completed,In-Store,Bank Transfer,2025-05-15,NEW10,,13.08,0.92,0.0,1,0.0,14.0
112,304,8,2024-05-10,2024-05-10 14:35:00,Completed,Online,Debit Card,2024-05-17,VIP20,Fragile,9.31,0.65,2.16,1,0.0,12.12
113,1199,4,2025-01-09,2025-01-09 10:35:00,Completed,Online,E-Wallet,2025-01-09,SUMMER15,,25.23,1.77,3.75,2,0.0,30.75
114,885,7,2024-02-14,2024-02-14 12:55:00,Pending,In-Store,Bank Transfer,,,,99.07,6.93,0.0,3,0.0,106.0
115,999,7,2024-10-24,2024-10-24 20:00:00,Completed,Online,Bank Transfer,2024-10-31,NEW10,,23.08,1.62,4.08,2,0.0,28.78
116,1181,6,2024-09-13,2024-09-13 17:30:00,Completed,Online,E-Wallet,2024-09-20,,Fragile,47.82,3.35,4.96,1,0.0,56.13
117,711,8,2025-04-09,2025-04-09 17:50:00,Completed,Online,Cash,2025-04-12,VIP20,Gift wrap,57.57,4.03,3.66,1,0.0,65.26
118,450,10,2024-06-22,2024-06-22 16:40:00,Pending,Online,Bank Transfer,,NEW10,Gift wrap,42.82,3.0,2.04,2,0.0,47.86
119,854,6,2024-08-05,2024-08-05 18:30:00,Returned,In-Store,Debit Card,,BUNDLE5,,29.02,2.03,0.0,3,0.58,30.47
120,177,8,2024-02-20,2024-02-20 14:55:00,Completed,Online,Bank Transfer,2024-02-27,,Fragile,62.23,4.36,3.75,5,0.0,70.34
121,622,4,2024-02-03,2024-02-03 20:35:00,Completed,Online,Credit Card,2024-02-08,SUMMER15,Gift wrap,69.22,4.85,4.21,3,1.38,76.9
122,1032,1,2024-07-24,2024-07-24 18:10:00,Returned,Online,Credit Card,,,,10.54,0.74,2.89,1,0.0,14.17
123,697,6,2024-02-08,2024-02-08 13:20:00,Cancelled,In-Store,Bank Transfer,,SUMMER15,,22.01,1.54,0.0,1,0.0,23.55
124,214,1,2024-10-19,2024-10-19 19:40:00,Pending,Online,E-Wallet,,,,13.95,0.98,2.38,1,0.0,17.31
125,1152,1,2025-07-30,2025-07-30 17:05:00,Completed,Online,Credit Card,2025-08-02,SUMMER15,,75.63,5.29,3.03,4,1.51,82.44
126,905,9,2025-06-16,2025-06-16 18:55:00,Completed,In-Store,Debit Card,2025-06-16,,Gift wrap,42.49,2.97,0.0,3,0.0,45.46
127,252,4,2024-04-22,2024-04-22 15:10:00,Completed,Online,Credit Card,2024-04-25,,Fragile,46.67,3.27,2.24,2,0.0,52.18
128,351,2,2025-03-25,2025-03-25 15:40:00,Completed,In-Store,E-Wallet,2025-03-25,SUMMER15,,8.59,0.6,0.0,1,0.0,9.19
129,864,4,2024-03-14,2024-03-14 12:40:00,Completed,Online,E-Wallet,2024-03-21,,,34.52,2.42,3.95,2,0.0,40.89
130,61,8,2024-03-04,2024-03-04 19:25:00,Completed,Online,Bank Transfer,2024-03-05,,Gift wrap,80.17,5.61,4.36,3,0.0,90.14
131,889,1,2025-02-25,2025-02-25 14:10:00,Completed,Online,Debit Card,2025-02-25,,,27.71,1.94,4.13,1,0.0,33.78
132,824,9,2024-12-16,2024-12-16 20:30:00,Pending,In-Store,Cash,,SUMMER15,,48.44,3.39,0.0,2,0.0,51.83
133,301,7,2024-05-12,2024-05-12 19:40:00,Completed,Online,Bank Transfer,2024-05-19,,Gift wrap,47.1,3.3,2.93,1,0.0,53.33
134,829,4,2024-04-09,2024-04-09 19:50:00,Pending,Online,Bank Transfer,,VIP20,,15.89,1.11,2.63,1,0.0,19.63
135,582,4,2025-02-02,2025-02-02 17:40:00,Completed,Online,Bank Transfer,2025-02-07,,,54.15,3.79,2.48,3,0.0,60.42
136,530,4,2024-05-01,2024-05-01 10:40:00,Pending,Online,E-Wallet,,,,134.32,9.4,2.65,3,0.0,146.37
137,1040,6,2024-08-06,2024-08-06 19:20:00,Completed,In-Store,Credit Card,2024-08-06,VIP20,Gift wrap,16.5,1.16,0.0,1,0.0,17.66
138,929,6,2025-01-07,2025-01-07 17:00:00,Pending,In-Store,Bank Transfer,,BUNDLE5,,50.4,3.53,0.0,2,0.0,53.93
139,718,5,2024-04-06,2024-04-06 19:15:00,Completed,In-Store,Bank Transfer,2024-04-06,,,37.77,2.64,0.0,2,0.0,40.41
140,508,2,2025-02-06,2025-02-06 18:40:00,Completed,Online,Cash,2025-02-13,,,25.37,1.78,1.73,2,0.0,28.88
141,168,2,2024-05-29,2024-05-29 18:30:00,Completed,In-Store,E-Wallet,2024-05-29,NEW10,Fragile,13.82,0.97,0.0,1,0.0,14.79
142,1078,7,2024-01-16,2024-01-16 11:50:00,Completed,Online,E-Wallet,2024-01-20,BUNDLE5,Fragile,40.47,2.83,2.61,2,0.0,45.91
143,1003,7,2024-03-08,2024-03-08 18:35:00,Returned,Online,Debit Card,,,Fragile,75.35,5.27,4.25,3,0.0,84.87
144,1052,9,2025-02-20,2025-02-20 12:55:00,Completed,Online,E-Wallet,2025-02-20,,,55.8,3.91,3.71,2,0.0,63.42
145,244,10,2024-03-29,2024-03-29 20:25:00,Pending,Online,Cash,,,,52.24,3.66,3.06,2,0.0,58.96
146,625,6,2024-12-12,2024-12-12 12:25:00,Completed,Online,Debit Card,2024-12-14,,,17.44,1.22,2.09,1,0.0,20.75
147,581,4,2025-06-25,2025-06-25 16:20:00,Completed,In-Store,Credit Card,2025-06-25,,,13.52,0.95,0.0,1,0.0,14.47
148,856,8,2025-03-29,2025-03-29 15:00:00,Completed,Online,Cash,2025-04-04,VIP20,,72.14,5.05,3.23,4,1.44,78.98
149,1034,8,2025-08-23,2025-08-23 12:10:00,Cancelled,In-Store,Debit Card,,,Gift wrap,10.05,0.7,0.0,1,0.0,10.75
150,839,7,2024-11-07,2024-11-07 11:45:00,Completed,Online,Bank Transfer,2024-11-07,,Fragile,68.61,4.8,4.33,2,0.0,77.74
151,182,3,2025-05-21,2025-05-21 18:50:00,Cancelled,Online,Cash,,,,91.97,6.44,3.57,4,0.0,101.98
152,1110,10,2024-02-11,2024-02-11 11:45:00,Cancelled,In-Store,Bank Transfer,,NEW10,Fragile,24.16,1.69,0.0,1,0.0,25.85
153,247,9,2025-01-08,2025-01-08 16:00:00,Completed,Online,Debit Card,2025-01-11,,,43.48,3.04,5.94,3,0.0,52.46
154,657,7,2024-09-16,2024-09-16 16:40:00,Completed,Online,Credit Card,2024-09-21,VIP20,,40.29,2.82,3.37,2,0.0,46.48
155,650,7,2025-06-09,2025-06-09 16:40:00,Completed,Online,Credit Card,2025-06-11,SUMMER15,,14.56,1.02,3.96,2,0.0,19.54
156,316,5,2024-12-14,2024-12-14 13:05:00,Pending,In-Store,Credit Card,,BUNDLE5,Gift wrap,30.47,2.13,0.0,2,0.0,32.6
157,120,5,2025-02-12,2025-02-12 13:55:00,Completed,Online,E-Wallet,2025-02-17,SUMMER15,Fragile,6.32,0.44,1.61,1,0.0,8.37
158,107,4,2025-04-20,2025-04-20 20:05:00,Completed,Online,Debit Card,2025-04-27,BUNDLE5,,44.3,3.1,2.4,2,0.0,49.8
159,552,1,2025-07-20,2025-07-20 15:05:00,Completed,Online,Credit Card,2025-07-27,,Fragile,24.46,1.71,3.73,2,0.0,29.9
160,552,9,2025-07-18,2025-07-18 17:00:00,Pending,In-Store,Debit Card,,,,10.17,0.71,0.0,1,0.0,10.88
161,624,10,2025-02-08,2025-02-08 18:10:00,Completed,Online,Bank Transfer,2025-02-11,,,108.64,7.6,3.93,1,0.0,120.17
162,503,9,2025-05-24,2025-05-24 15:10:00,Pending,In-Store,Bank Transfer,,VIP20,,52.1,3.65,0.0,3,1.04,54.71
163,593,3,2024-07-14,2024-07-14 10:35:00,Completed,In-Store,E-Wallet,2024-07-14,SUMMER15,,39.03,2.73,0.0,3,0.78,40.98
164,779,6,2025-03-23,2025-03-23 14:50:00,Pending,Online,Bank Transfer,,,,26.93,1.89,3.85,1,0.0,32.67
165,144,5,2025-01-05,2025-01-05 18:45:00,Completed,In-Store,Debit Card,2025-01-05,,,16.74,1.17,0.0,1,0.0,17.91
166,432,10,2024-08-09,2024-08-09 20:30:00,Completed,In-Store,Cash,2024-08-09,,Gift wrap,15.68,1.1,0.0,1,0.0,16.78
167,928,5,2025-03-27,2025-03-27 20:55:00,Completed,In-Store,Cash,2025-03-27,NEW10,Fragile,47.25,3.31,0.0,2,0.0,50.56
168,33,3,2025-04-22,2025-04-22 20:25:00,Completed,Online,E-Wallet,2025-04-22,,,72.88,5.1,4.3,2,0.0,82.28
169,1002,7,2024-12-14,2024-12-14 15:55:00,Completed,In-Store,Credit Card,2024-12-14,BUNDLE5,,52.51,3.68,0.0,3,1.05,55.14
170,912,2,2025-04-29,2025-04-29 19:50:00,Completed,In-Store,Bank Transfer,2025-04-29,SUMMER15,Fragile,32.64,2.28,0.0,1,0.0,34.92
171,18,2,2025-04-11,2025-04-11 13:55:00,Completed,In-Store,E-Wallet,2025-04-11,,,21.91,1.53,0.0,2,0.0,23.44
172,733,4,2024-02-14,2024-02-14 18:20:00,Completed,In-Store,Cash,2024-02-14,,,32.38,2.27,0.0,1,0.0,34.65
173,744,1,2024-09-02,2024-09-02 13:35:00,Completed,In-Store,Bank Transfer,2024-09-02,NEW10,,57.34,4.01,0.0,2,0.0,61.35
174,812,2,2024-05-05,2024-05-05 13:50:00,Pending,Online,E-Wallet,,BUNDLE5,,25.28,1.77,2.06,1,0.0,29.11
175,1158,3,2024-04-14,2024-04-14 18:45:00,Completed,Online,Credit Card,2024-04-16,SUMMER15,,29.61,2.07,3.0,2,0.0,34.68
176,562,4,2024-03-23,2024-03-23 19:40:00,Pending,Online,Bank Transfer,,,,48.45,3.39,4.69,3,0.0,56.53
177,875,1,2025-01-15,2025-01-15 19:00:00,Pending,Online,E-Wallet,,,,44.78,3.13,3.0,1,0.0,50.91
178,1060,1,2024-04-06,2024-04-06 16:25:00,Pending,Online,Cash,,BUNDLE5,Fragile,79.79,5.59,2.0,4,1.6,85.78
179,399,6,2024-03-26,2024-03-26 14:30:00,Completed,Online,Credit Card,2024-03-29,,Fragile,77.75,5.44,4.53,2,0.0,87.72
180,404,3,2024-08-04,2024-08-04 20:15:00,Completed,Online,Credit Card,2024-08-04,VIP20,Fragile,23.25,1.63,2.58,2,0.0,27.46
181,685,5,2025-02-28,2025-02-28 19:45:00,Completed,Online,Cash,2025-02-28,,Gift wrap,102.07,7.14,5.03,2,0.0,114.24
182,150,10,2024-11-13,2024-11-13 17:15:00,Completed,In-Store,E-Wallet,2024-11-13,BUNDLE5,,56.78,3.97,0.0,2,0.0,60.75
183,69,7,2024-09-17,2024-09-17 11:00:00,Completed,In-Store,Credit Card,2024-09-17,,,17.29,1.21,0.0,1,0.0,18.5
184,113,5,2024-11-20,2024-11-20 11:35:00,Completed,Online,Credit Card,2024-11-20,BUNDLE5,,24.2,1.69,1.53,1,0.0,27.42
185,823,2,2024-10-03,2024-10-03 14:30:00,Completed,Online,Bank Transfer,2024-10-03,VIP20,Fragile,34.37,2.41,3.73,3,0.69,39.82
