OrderItemID,OrderID,ProductID,Quantity,UnitPrice,LineDiscount,LineTotal
124,66,9,3,28.02,0.0,84.06
125,67,6,3,23.04,0.0,69.12
126,67,13,1,15.12,0.0,15.12
127,67,14,1,7.79,0.0,7.79
128,68,7,1,19.39,0.97,18.42
129,68,4,1,25.84,1.29,24.55
130,69,7,1,19.74,0.0,19.74
131,69,3,4,14.34,0.0,57.36
132,69,14,2,7.28,0.0,14.56
133,69,4,1,26.64,0.0,26.64
134,69,19,1,10.13,0.0,10.13
135,70,1,2,11.83,0.0,23.66
136,70,5,1,11.82,0.0,11.82
137,70,10,1,16.07,0.0,16.07
138,71,11,2,13.51,0.0,27.02
139,71,15,1,17.24,0.0,17.24
140,72,3,1,14.05,2.81,11.24
141,73,13,1,14.41,0.0,14.41
142,73,9,2,29.03,0.0,58.06
143,74,10,1,16.9,0.0,16.9
144,74,11,1,13.49,0.0,13.49
145,75,6,1,19.91,0.0,19.91
146,76,8,1,18.1,0.0,18.1
147,76,3,1,15.09,0.0,15.09
148,77,1,2,12.65,5.06,20.24
149,78,17,2,12.11,0.0,24.22
150,79,15,2,18.34,0.0,36.68
151,79,3,3,12.73,0.0,38.19
152,79,4,2,24.96,0.0,49.92
153,79,11,2,12.98,0.0,25.96
154,80,6,2,22.38,8.95,35.81
155,80,13,2,14.25,5.7,22.8
156,81,1,2,13.55,4.07,23.03
157,82,7,2,22.21,0.0,44.42
158,82,1,3,12.35,0.0,37.05
159,82,19,1,9.64,0.0,9.64
160,83,3,2,14.01,4.2,23.82
161,83,8,1,16.21,2.43,13.78
162,83,19,1,10.09,1.51,8.58
163,84,14,1,7.39,1.48,5.91
164,84,6,2,21.99,8.8,35.18
165,85,10,1,15.13,3.03,12.1
166,85,14,1,7.71,1.54,6.17
167,86,12,3,9.64,5.78,23.14
168,87,12,3,10.45,1.57,29.78
169,87,13,2,13.29,1.33,25.25
170,88,18,2,13.57,2.71,24.43
171,89,20,1,3.47,0.0,3.47
172,90,17,1,12.14,1.82,10.32
173,90,11,1,13.88,2.08,11.8
174,90,14,1,7.22,1.08,6.14
175,91,14,2,7.48,0.0,14.96
176,91,9,4,26.41,0.0,105.64
177,91,18,1,13.4,0.0,13.4
178,91,4,1,27.11,0.0,27.11
179,92,11,1,12.46,0.0,12.46
180,93,4,5,26.09,19.57,110.88
181,93,19,1,9.78,1.47,8.31
182,93,8,1,16.72,2.51,14.21
183,94,3,2,13.6,0.0,27.2
184,95,1,1,12.99,0.0,12.99
185,95,4,1,26.16,0.0,26.16
186,96,13,1,15.19,0.76,14.43
187,97,15,1,17.65,0.0,17.65
188,97,20,1,3.65,0.0,3.65
189,98,2,1,10.83,0.0,10.83
190,99,5,4,11.94,7.16,40.6
191,100,17,1,12.35,0.0,12.35
192,100,7,1,20.3,0.0,20.3
193,101,12,1,10.22,1.53,8.69
194,102,9,1,26.27,0.0,26.27
195,102,2,1,10.87,0.0,10.87
196,102,18,2,13.48,0.0,26.96
197,103,6,2,20.12,0.0,40.24
198,103,18,1,12.58,0.0,12.58
199,103,13,1,14.16,0.0,14.16
200,104,11,1,11.22,0.0,11.22
201,104,13,1,14.58,0.0,14.58
202,104,20,1,3.62,0.0,3.62
203,105,11,2,12.13,0.0,24.26
204,105,1,1,11.38,0.0,11.38
205,106,10,1,16.12,0.81,15.31
206,106,3,1,15.06,0.75,14.31
207,106,8,2,16.57,1.66,31.48
208,107,19,1,9.41,0.0,9.41
209,107,9,1,27.08,0.0,27.08
210,108,16,2,12.26,0.0,24.52
211,109,3,1,13.32,0.0,13.32
212,109,19,1,10.37,0.0,10.37
213,110,3,1,14.16,0.0,14.16
214,111,18,1,14.53,1.45,13.08
215,112,20,3,3.88,2.33,9.31
216,113,17,1,12.23,1.83,10.4
217,113,15,1,17.45,2.62,14.83
218,114,11,4,12.07,0.0,48.28
219,114,1,1,11.85,0.0,11.85
220,114,18,3,12.98,0.0,38.94
221,115,16,1,11.67,1.17,10.5
222,115,18,1,13.98,1.4,12.58
223,116,8,3,15.94,0.0,47.82
224,117,8,4,17.99,14.39,57.57
225,118,5,1,12.44,1.24,11.2
226,118,11,3,11.71,3.51,31.62
227,119,14,1,7.61,0.38,7.23
228,119,5,1,12.67,0.63,12.04
229,119,19,1,10.26,0.51,9.75
230,120,19,1,9.71,0.0,9.71
231,120,2,1,10.61,0.0,10.61
232,120,8,1,16.6,0.0,16.6
233,120,1,1,12.58,0.0,12.58
234,120,5,1,12.73,0.0,12.73
235,121,6,1,22.75,3.41,19.34
236,121,10,3,15.95,7.18,40.67
237,121,11,1,10.84,1.63,9.21
238,122,2,1,10.54,0.0,10.54
239,123,4,1,25.89,3.88,22.01
240,124,10,1,13.95,0.0,13.95
241,125,2,1,9.49,1.42,8.07
242,125,4,1,23.75,3.56,20.19
243,125,16,3,12.23,5.5,31.19
244,125,15,1,19.03,2.85,16.18
245,126,15,1,19.02,0.0,19.02
246,126,19,1,9.81,0.0,9.81
247,126,18,1,13.66,0.0,13.66
248,127,5,3,11.73,0.0,35.19
249,127,1,1,11.48,0.0,11.48
250,128,19,1,10.11,1.52,8.59
251,129,19,1,9.93,0.0,9.93
252,129,4,1,24.59,0.0,24.59
253,130,9,2,27.09,0.0,54.18
254,130,17,1,11.31,0.0,11.31
255,130,13,1,14.68,0.0,14.68
256,131,9,1,27.71,0.0,27.71
257,132,11,2,12.55,3.76,21.34
258,132,8,2,15.94,4.78,27.1
259,133,6,2,23.55,0.0,47.1
260,134,7,1,19.86,3.97,15.89
261,135,2,1,10.8,0.0,10.8
262,135,11,2,12.32,0.0,24.64
263,135,15,1,18.71,0.0,18.71
264,136,12,1,9.92,0.0,9.92
265,136,1,2,11.64,0.0,23.28
266,136,4,4,25.28,0.0,101.12
267,137,12,2,10.31,4.12,16.5
268,138,19,4,10.29,2.06,39.1
269,138,1,1,11.9,0.6,11.3
270,139,4,1,25.89,0.0,25.89
271,139,5,1,11.88,0.0,11.88
272,140,20,2,3.6,0.0,7.2
273,140,15,1,18.17,0.0,18.17
274,141,13,1,15.36,1.54,13.82
275,142,10,1,14.9,0.75,14.15
276,142,9,1,27.71,1.39,26.32
277,143,8,1,17.01,0.0,17.01
278,143,13,1,15.58,0.0,15.58
279,143,6,2,21.38,0.0,42.76
280,144,3,3,14.13,0.0,42.39
281,144,18,1,13.41,0.0,13.41
282,145,14,2,7.52,0.0,15.04
283,145,17,3,12.4,0.0,37.2
284,146,15,1,17.44,0.0,17.44
285,147,18,1,13.52,0.0,13.52
286,148,11,1,12.88,2.58,10.3
287,148,1,2,12.69,5.08,20.3
288,148,6,2,21.96,8.78,35.14
289,148,14,1,8.0,1.6,6.4
290,149,12,1,10.05,0.0,10.05
291,150,12,4,10.24,0.0,40.96
292,150,9,1,27.65,0.0,27.65
293,151,1,2,11.68,0.0,23.36
294,151,7,2,21.48,0.0,42.96
295,151,19,1,10.59,0.0,10.59
296,151,14,2,7.53,0.0,15.06
297,152,3,2,13.42,2.68,24.16
298,153,14,1,7.24,0.0,7.24
299,153,18,2,13.26,0.0,26.52
300,153,19,1,9.72,0.0,9.72
301,154,11,2,12.3,4.92,19.68
302,154,3,2,12.88,5.15,20.61
303,155,18,1,13.82,2.07,11.75
304,155,20,1,3.31,0.5,2.81
305,156,6,1,21.07,1.05,20.02
306,156,17,1,11.0,0.55,10.45
307,157,20,2,3.72,1.12,6.32
308,158,2,1,10.43,0.52,9.91
309,158,15,2,18.1,1.81,34.39
310,159,2,1,9.9,0.0,9.9
311,159,13,1,14.56,0.0,14.56
312,160,19,1,10.17,0.0,10.17
313,161,9,4,27.16,0.0,108.64
314,162,1,2,11.78,4.71,18.85
315,162,5,1,11.71,2.34,9.37
316,162,2,3,9.95,5.97,23.88
317,163,3,1,13.41,2.01,11.4
318,163,17,1,12.56,1.88,10.68
319,163,2,2,9.97,2.99,16.95
320,164,9,1,26.93,0.0,26.93
321,165,14,2,8.37,0.0,16.74
322,166,14,2,7.84,0.0,15.68
323,167,13,1,13.74,1.37,12.37
324,167,17,3,12.92,3.88,34.88
325,168,7,3,18.53,0.0,55.59
326,168,15,1,17.29,0.0,17.29
327,169,3,1,13.73,0.69,13.04
328,169,6,1,22.45,1.12,21.33
329,169,15,1,19.09,0.95,18.14
330,170,5,3,12.8,5.76,32.64
331,171,16,1,11.46,0.0,11.46
332,171,12,1,10.45,0.0,10.45
333,172,10,2,16.19,0.0,32.38
334,173,6,1,22.28,2.23,20.05
335,173,3,3,13.81,4.14,37.29
336,174,4,1,26.61,1.33,25.28
337,175,12,1,9.52,1.43,8.09
338,175,3,2,12.66,3.8,21.52
339,176,17,1,12.32,0.0,12.32
340,176,1,2,12.4,0.0,24.8
341,176,16,1,11.33,0.0,11.33
342,177,6,2,22.39,0.0,44.78
343,178,14,2,6.85,0.68,13.02
344,178,2,2,10.09,1.01,19.17
345,178,7,1,20.49,1.02,19.47
346,178,12,3,9.87,1.48,28.13
347,179,3,1,13.7,0.0,13.7
348,179,17,5,12.81,0.0,64.05
349,180,5,1,11.89,2.38,9.51
350,180,15,1,17.17,3.43,13.74
351,181,4,3,28.26,0.0,84.78
352,181,8,1,17.29,0.0,17.29
353,182,5,2,11.44,1.14,21.74
354,182,15,2,18.44,1.84,35.04
355,183,8,1,17.29,0.0,17.29
356,184,4,1,25.47,1.27,24.2
357,185,7,1,21.24,4.25,16.99
358,185,2,1,9.52,1.9,7.62
359,185,5,1,12.2,2.44,9.76
360,186,7,1,21.49,4.3,17.19
361,186,1,1,12.61,2.52,10.09
362,186,12,3,10.1,6.06,24.24
363,187,11,2,13.16,0.0,26.32
364,188,9,1,28.97,2.9,26.07
365,189,13,2,14.91,1.49,28.33
366,190,6,2,22.49,0.0,44.98
367,191,20,3,3.58,0.0,10.74
368,191,8,1,16.41,0.0,16.41
369,192,3,2,13.61,1.36,25.86
370,192,2,3,9.72,1.46,27.7
371,192,6,1,21.66,1.08,20.58
372,192,9,1,26.0,1.3,24.7
373,192,5,1,11.62,0.58,11.04
374,193,18,1,13.52,1.35,12.17
375,193,4,1,26.41,2.64,23.77
376,194,19,1,9.54,0.95,8.59
377,194,5,4,11.98,4.79,43.13
378,194,10,1,14.58,1.46,13.12
379,195,1,1,11.76,1.76,10.0
380,195,20,3,3.74,1.68,9.54
381,196,11,1,11.22,1.12,10.1
382,196,3,1,13.49,1.35,12.14
383,196,19,1,9.59,0.96,8.63
384,197,4,1,25.31,0.0,25.31
385,198,2,1,9.9,0.5,9.4
386,198,13,2,15.0,1.5,28.5
387,199,4,1,26.31,2.63,23.68
388,200,18,3,14.18,0.0,42.54
389,200,10,2,14.81,0.0,29.62
390,200,13,4,14.04,0.0,56.16
391,201,7,1,20.95,0.0,20.95
392,202,7,2,19.16,0.0,38.32
393,203,19,1,10.68,0.53,10.15
394,204,7,1,19.89,0.0,19.89
395,205,11,1,12.73,0.0,12.73
396,206,1,1,12.04,2.41,9.63
397,206,14,1,7.49,1.5,5.99
398,206,3,1,15.21,3.04,12.17
399,207,13,2,14.35,4.3,24.4
400,207,7,2,18.84,5.65,32.03
401,208,20,1,3.47,0.0,3.47
402,208,11,1,12.05,0.0,12.05
403,208,8,2,17.14,0.0,34.28
404,209,14,1,7.58,0.0,7.58
405,209,9,1,26.64,0.0,26.64
406,210,14,2,7.52,1.5,13.54
407,210,1,1,12.3,1.23,11.07
408,210,10,2,16.83,3.37,30.29
409,211,17,3,12.2,7.32,29.28
410,211,3,1,13.73,2.75,10.98
411,212,20,1,3.9,0.39,3.51
412,212,2,2,10.74,2.15,19.33
413,212,13,1,13.81,1.38,12.43
414,213,8,1,17.56,0.0,17.56
415,214,16,2,11.73,2.35,21.11
416,215,17,1,11.98,0.0,11.98
417,215,16,1,10.93,0.0,10.93
418,216,1,1,12.7,1.9,10.8
419,217,1,1,12.37,0.0,12.37
420,217,10,3,14.94,0.0,44.82
421,217,12,2,10.09,0.0,20.18
422,218,6,2,20.47,4.09,36.85
423,219,6,2,22.41,0.0,44.82
424,219,9,1,26.17,0.0,26.17
425,219,17,3,11.73,0.0,35.19
426,219,19,2,10.51,0.0,21.02
427,219,4,1,28.3,0.0,28.3
428,220,3,1,14.54,2.18,12.36
429,220,7,5,20.52,15.39,87.21
430,221,19,4,9.44,3.78,33.98
431,221,17,1,12.11,1.21,10.9
432,222,3,2,14.55,2.91,26.19
433,222,13,2,14.67,2.93,26.41
434,223,20,1,3.65,0.36,3.29
435,224,2,1,9.96,0.5,9.46
436,225,17,1,12.72,0.0,12.72
437,225,20,1,3.82,0.0,3.82
438,226,8,2,18.04,7.22,28.86
439,227,9,1,28.75,0.0,28.75
440,227,2,1,11.35,0.0,11.35
441,228,12,1,10.27,0.0,10.27
442,228,18,1,14.52,0.0,14.52
443,229,12,1,9.93,1.49,8.44
444,229,15,1,17.24,2.59,14.65
445,229,8,1,15.31,2.3,13.01
446,229,3,1,13.42,2.01,11.41
447,230,14,1,7.27,1.45,5.82
448,231,13,1,14.81,0.0,14.81
449,231,8,2,16.37,0.0,32.74
450,231,3,1,13.95,0.0,13.95
451,232,8,2,17.24,0.0,34.48
452,232,13,1,14.69,0.0,14.69
453,232,9,3,27.74,0.0,83.22
454,232,2,1,8.9,0.0,8.9
455,233,8,1,15.99,0.0,15.99
456,233,18,1,14.34,0.0,14.34
457,233,2,1,10.07,0.0,10.07
458,233,3,1,14.46,0.0,14.46
459,234,14,1,7.56,0.0,7.56
460,234,20,1,3.59,0.0,3.59
461,235,2,1,10.09,1.01,9.08
462,236,15,3,17.85,0.0,53.55
463,236,11,2,12.25,0.0,24.5
464,237,13,1,14.6,2.19,12.41
465,238,17,1,11.24,0.0,11.24
466,238,11,1,12.85,0.0,12.85
467,239,14,1,7.42,0.74,6.68
468,240,18,1,14.04,2.81,11.23
469,240,12,3,10.71,6.43,25.7
470,240,14,1,7.2,1.44,5.76
471,241,16,1,12.3,1.84,10.46
472,241,4,1,24.77,3.72,21.05
473,242,3,1,14.35,2.15,12.2
474,242,14,1,7.7,1.16,6.54
475,242,11,1,12.68,1.9,10.78
476,243,6,1,20.87,0.0,20.87
477,243,8,1,16.74,0.0,16.74
478,244,12,1,9.82,0.49,9.33
479,244,3,2,14.64,1.46,27.82
480,244,16,3,12.14,1.82,34.6
481,245,12,1,11.05,1.11,9.94
482,246,6,1,21.69,4.34,17.35
483,247,1,2,12.04,0.0,24.08
484,247,8,2,17.71,0.0,35.42
485,247,16,3,11.58,0.0,34.74
486,247,14,4,7.79,0.0,31.16
487,248,9,1,27.6,1.38,26.22
488,249,1,1,12.27,0.0,12.27
489,249,20,2,3.46,0.0,6.92
490,250,10,2,15.7,3.14,28.26
491,250,4,1,25.05,2.51,22.54
492,251,17,1,13.38,0.67,12.71
493,251,5,3,12.28,1.84,35.0
494,251,10,2,14.75,1.48,28.02
495,252,18,1,11.58,1.74,9.84
496,252,3,3,12.93,5.82,32.97
497,252,4,1,23.0,3.45,19.55
498,253,8,1,16.33,0.0,16.33
499,253,19,1,10.62,0.0,10.62
500,253,14,1,6.91,0.0,6.91
501,254,3,1,14.5,0.73,13.77
502,254,19,1,10.56,0.53,10.03
503,254,5,2,12.28,1.23,23.33
504,255,14,4,7.34,0.0,29.36
505,256,11,1,11.69,2.34,9.35
506,256,19,1,10.14,2.03,8.11
507,257,13,1,16.02,0.0,16.02
508,258,14,1,7.59,0.0,7.59
509,259,8,1,17.84,1.78,16.06
510,259,19,3,10.59,3.18,28.59
511,260,9,3,28.75,8.62,77.63
512,261,11,1,12.83,0.0,12.83
513,262,11,1,12.19,0.0,12.19
514,262,10,3,15.35,0.0,46.05
515,262,8,1,16.16,0.0,16.16
516,263,6,1,21.64,0.0,21.64
517,264,16,1,12.22,0.0,12.22
518,264,6,3,20.79,0.0,62.37
519,265,4,4,26.78,5.36,101.76
520,265,5,1,12.61,0.63,11.98
521,266,9,1,27.05,5.41,21.64
522,266,14,1,7.53,1.51,6.02
523,267,20,4,3.74,0.0,14.96
524,267,3,2,13.07,0.0,26.14
525,268,5,1,12.52,1.88,10.64
526,268,1,1,12.13,1.82,10.31
527,269,6,1,22.37,0.0,22.37
528,269,4,3,23.72,0.0,71.16
529,269,12,2,10.31,0.0,20.62
530,270,19,2,10.02,1.0,19.04
531,270,15,3,16.8,2.52,47.88
532,270,5,1,11.96,0.6,11.36
533,271,3,3,14.42,6.49,36.77
534,271,20,1,3.71,0.56,3.15
535,271,1,1,12.03,1.8,10.23
536,272,15,1,18.44,0.0,18.44
537,273,8,1,17.0,0.0,17.0
538,273,5,2,11.49,0.0,22.98
539,274,9,1,24.67,0.0,24.67
540,275,15,1,17.8,2.67,15.13
541,275,13,1,15.45,2.32,13.13
542,276,9,1,26.59,2.66,23.93
543,276,10,1,14.8,1.48,13.32
544,277,2,2,10.67,0.0,21.34
545,278,7,2,19.04,3.81,34.27
546,279,19,3,10.77,0.0,32.31
547,279,16,1,11.19,0.0,11.19
548,279,20,1,3.29,0.0,3.29
549,279,2,2,10.69,0.0,21.38
550,280,15,3,18.03,0.0,54.09
551,280,11,1,13.22,0.0,13.22
552,280,3,1,13.48,0.0,13.48
553,281,5,2,12.24,3.67,20.81
554,282,2,1,10.14,0.51,9.63
555,283,8,1,16.74,0.0,16.74
556,283,10,1,15.45,0.0,15.45
557,283,11,1,13.37,0.0,13.37
558,284,3,1,13.23,0.0,13.23
559,284,11,2,12.43,0.0,24.86
560,285,3,1,14.55,0.0,14.55
561,285,2,1,10.54,0.0,10.54
562,286,16,3,12.75,0.0,38.25
563,286,18,1,13.35,0.0,13.35
564,286,10,1,15.99,0.0,15.99
565,287,13,2,14.7,0.0,29.4
566,288,16,1,11.69,0.0,11.69
567,289,8,2,16.42,6.57,26.27
568,290,10,2,15.38,4.61,26.15
569,290,12,1,9.95,1.49,8.46
570,291,3,1,13.54,2.03,11.51
571,292,1,1,12.16,0.0,12.16
572,293,14,3,7.36,0.0,22.08
573,294,19,1,9.19,0.0,9.19
574,294,2,2,9.72,0.0,19.44
575,295,17,1,11.21,0.0,11.21
576,295,2,1,9.19,0.0,9.19
577,295,19,1,10.13,0.0,10.13
578,296,17,1,10.97,0.0,10.97
579,296,16,3,12.02,0.0,36.06
580,296,19,1,10.42,0.0,10.42
581,297,3,1,13.14,1.97,11.17
582,297,14,2,7.7,2.31,13.09
583,297,18,2,11.74,3.52,19.96
584,298,8,2,18.81,1.88,35.74
585,299,12,3,11.5,1.72,32.78
586,300,20,1,3.79,0.0,3.79
587,301,8,1,17.07,0.0,17.07
588,301,20,3,3.67,0.0,11.01
589,302,15,1,18.21,0.0,18.21
590,302,9,1,24.4,0.0,24.4
591,302,2,2,9.54,0.0,19.08
592,303,4,1,26.62,2.66,23.96
593,304,17,1,11.02,0.55,10.47
594,304,15,2,18.51,1.85,35.17
595,304,6,1,22.85,1.14,21.71
596,305,8,1,17.54,1.75,15.79
597,305,12,1,10.02,1.0,9.02
598,306,12,4,10.83,2.17,41.15
599,306,19,3,9.22,1.38,26.28
600,306,6,3,21.37,3.21,60.9
601,306,14,1,7.14,0.36,6.78
602,307,2,1,10.47,0.0,10.47
603,307,11,1,12.14,0.0,12.14
604,308,14,1,7.46,1.49,5.97
605,309,6,1,21.84,1.09,20.75
606,309,15,1,16.99,0.85,16.14
607,310,3,1,14.91,1.49,13.42
608,310,7,1,18.71,1.87,16.84
609,311,12,2,9.91,0.99,18.83
610,311,8,2,16.96,1.7,32.22
611,311,20,2,3.61,0.36,6.86
612,312,11,2,12.44,1.24,23.64
613,312,8,2,16.49,1.65,31.33
614,313,4,2,27.18,2.72,51.64
615,314,8,1,16.19,0.0,16.19
616,314,3,2,13.56,0.0,27.12
617,315,6,1,20.73,0.0,20.73
618,315,4,2,27.19,0.0,54.38
619,315,1,1,11.77,0.0,11.77
620,316,4,1,25.22,3.78,21.44
621,316,19,1,10.42,1.56,8.86
622,317,5,1,11.59,0.0,11.59
623,317,14,1,7.74,0.0,7.74
624,317,17,1,11.52,0.0,11.52
625,317,13,2,14.34,0.0,28.68
626,318,12,1,9.78,0.49,9.29
627,318,14,2,7.91,0.79,15.03
628,319,17,1,12.66,2.53,10.13
629,319,1,1,12.13,2.43,9.7
630,320,15,3,17.89,0.0,53.67
631,321,9,1,24.47,0.0,24.47
632,321,16,4,12.42,0.0,49.68
633,322,13,1,14.92,0.75,14.17
634,323,8,1,16.65,0.0,16.65
635,323,16,2,9.95,0.0,19.9
636,324,1,2,12.26,2.45,22.07
637,324,6,1,20.31,2.03,18.28
638,324,3,2,14.36,2.87,25.85
639,325,11,1,11.67,0.0,11.67
640,325,14,1,7.13,0.0,7.13
641,325,20,1,3.49,0.0,3.49
642,326,18,2,14.06,4.22,23.9
643,326,17,1,11.65,1.75,9.9
644,326,15,1,18.12,2.72,15.4
645,327,11,1,11.79,0.0,11.79
646,328,4,1,27.14,2.71,24.43
647,328,8,1,16.67,1.67,15.0
648,329,2,2,10.02,3.01,17.03
649,330,1,2,12.08,2.42,21.74
650,330,3,1,14.88,1.49,13.39
651,330,13,1,14.98,1.5,13.48
652,331,8,5,17.41,0.0,87.05
653,332,7,1,20.19,2.02,18.17
654,332,15,1,18.79,1.88,16.91
655,333,11,2,12.0,4.8,19.2
656,333,5,1,12.11,2.42,9.69
657,334,19,2,9.84,1.97,17.71
658,334,18,1,13.57,1.36,12.21
659,334,13,1,15.04,1.5,13.54
660,335,1,1,11.91,0.0,11.91
661,335,13,1,15.94,0.0,15.94
662,335,8,1,16.17,0.0,16.17
663,336,5,2,12.4,2.48,22.32
664,337,16,1,12.06,1.81,10.25
665,338,14,1,7.53,0.0,7.53
666,338,9,4,25.75,0.0,103.0
667,338,7,1,19.49,0.0,19.49
668,339,10,1,15.38,1.54,13.84
669,339,9,2,25.89,5.18,46.6
670,339,13,3,14.05,4.22,37.93
671,340,20,4,3.34,2.0,11.36
672,340,7,1,19.43,2.91,16.52
673,340,18,1,13.17,1.98,11.19
674,341,10,2,14.78,0.0,29.56
675,341,9,1,27.95,0.0,27.95
676,341,20,3,3.59,0.0,10.77
677,342,6,2,22.01,0.0,44.02
678,343,4,1,28.8,1.44,27.36
679,343,15,1,17.53,0.88,16.65
680,343,1,2,11.68,1.17,22.19
681,344,6,1,22.71,4.54,18.17
682,344,9,1,26.62,5.32,21.3
683,345,9,1,27.1,0.0,27.1
684,346,18,1,14.32,2.15,12.17
685,347,9,1,28.36,2.84,25.52
686,347,4,3,24.71,7.41,66.72
687,347,16,1,11.33,1.13,10.2
688,347,14,3,7.68,2.3,20.74
689,348,13,1,14.73,1.47,13.26
690,348,20,4,3.35,1.34,12.06
691,348,3,1,15.06,1.51,13.55
692,349,3,1,13.49,2.02,11.47
693,349,12,1,10.31,1.55,8.76
694,350,18,2,13.76,4.13,23.39
695,350,16,1,12.39,1.86,10.53
